,Unnamed: 0,element_type,osmid,x,y,geometry,passengers,cluster,name
0,0,node,270544778,10.4052614,53.230091,POINT (10.4052614 53.230091),2,6.0,Universitätsallee
1,1,node,293938387,10.3904939,53.2529278,POINT (10.3904939 53.2529278),6,5.0,Bei Mönchsgarten
2,2,node,298512342,10.4357546,53.2611082,POINT (10.4357546 53.2611082),2,9.0,Hermann-Löns-Straße
3,3,node,304485121,10.4442936,53.236347,POINT (10.4442936 53.236347),7,10.0,Wilhelm-Leuschner-Straße
4,4,node,304485122,10.4385436,53.2372693,POINT (10.4385436 53.2372693),9,10.0,Graf-von-Moltke-Straße
5,5,node,304485123,10.4347836,53.2385554,POINT (10.4347836 53.2385554),9,7.0,St.-Stephanus-Platz
6,6,node,304485135,10.4319275,53.2377656,POINT (10.4319275 53.2377656),6,7.0,Konrad-Adenauer-Straße
7,7,node,304485136,10.429653,53.2361294,POINT (10.429653 53.2361294),6,7.0,Waldfriedhof
8,8,node,304485137,10.4287246,53.2378491,POINT (10.4287246 53.2378491),5,7.0,Schäferfeld
9,9,node,304485138,10.4269383,53.2401354,POINT (10.4269383 53.2401354),10,13.0,Kurt-Schumacher-Straße
10,10,node,304485140,10.4230445,53.2433336,POINT (10.4230445 53.2433336),4,13.0,Blümchensaal
11,11,node,304911409,10.4329576,53.2462219,POINT (10.4329576 53.2462219),5,12.0,Theodor-Heuss-Straße
12,12,node,304911410,10.4303141,53.2465477,POINT (10.4303141 53.2465477),5,12.0,Venusberg (Johanneum)
13,13,node,304911411,10.4276158,53.2474105,POINT (10.4276158 53.2474105),9,12.0,Ziegelkamp
14,14,node,304911412,10.4236403,53.2487451,POINT (10.4236403 53.2487451),7,12.0,Am Schützenplatz
15,15,node,322048072,10.397792,53.2268409,POINT (10.397792 53.2268409),4,3.0,Wichernstraße
16,16,node,322048074,10.3984829,53.2251001,POINT (10.3984829 53.2251001),1,3.0,Anna-Vogeley-Heim
17,17,node,322051798,10.4012942,53.2245326,POINT (10.4012942 53.2245326),6,3.0,Am Elsenbruch
18,18,node,322051837,10.4024801,53.2227054,POINT (10.4024801 53.2227054),2,3.0,Röntgenstraße / Kirche
19,19,node,322051838,10.4028648,53.2207693,POINT (10.4028648 53.2207693),4,3.0,Röntgenstraße
20,20,node,322053787,10.404717,53.2192047,POINT (10.404717 53.2192047),3,3.0,Planckstraße
21,21,node,332563449,10.4106941,53.2531248,POINT (10.4106941 53.2531248),4,13.0,Reichenbachplatz
22,22,node,333235522,10.4092892,53.2522431,POINT (10.4092892 53.2522431),6,13.0,Bürgeramt
23,23,node,415971821,10.40891,53.25078,POINT (10.40891 53.25078),0,,Markt
24,24,node,349269969,10.4317204,53.2599086,POINT (10.4317204 53.2599086),7,9.0,Meisterweg
25,25,node,349269973,10.4261391,53.2555935,POINT (10.4261391 53.2555935),8,13.0,Hansestraße
26,26,node,349269976,10.4233245,53.2525633,POINT (10.4233245 53.2525633),5,9.0,Henningstraße
27,27,node,349269979,10.422458,53.2511748,POINT (10.422458 53.2511748),6,9.0,Pulverweg (Nord)
28,28,node,349277062,10.4422643,53.2341433,POINT (10.4422643 53.2341433),9,10.0,Theodor-Haubach-Straße
29,29,node,349277070,10.4459154,53.2314995,POINT (10.4459154 53.2314995),10,10.0,Bülows Kamp
30,30,node,349277075,10.4460096,53.2292609,POINT (10.4460096 53.2292609),9,10.0,Klosterkamp
31,31,node,349277080,10.4441928,53.2288883,POINT (10.4441928 53.2288883),6,10.0,Hermann-Wagner-Straße
32,32,node,349277089,10.4337268,53.2393598,POINT (10.4337268 53.2393598),7,10.0,Hinrich-Wilhelm-Kopf-Straße
33,33,node,364332228,10.4107075,53.2477583,POINT (10.4107075 53.2477583),8,7.0,Am Sande
34,34,node,369962274,10.3769693,53.228942,POINT (10.3769693 53.228942),7,1.0,Oedeme Dorf
35,35,node,369974664,10.3850765,53.2222253,POINT (10.3850765 53.2222253),0,,Im Kamp
36,36,node,370660701,10.3971229,53.2300297,POINT (10.3971229 53.2300297),5,1.0,Scharnhorststraße/DJH
37,37,node,370660953,10.4000814,53.2311691,POINT (10.4000814 53.2311691),8,1.0,Blücherstraße
38,38,node,386915979,10.388762,53.2746341,POINT (10.388762 53.2746341),10,8.0,Imkerstieg
39,39,node,387487106,10.4049563,53.2353498,POINT (10.4049563 53.2353498),10,3.0,MTV-Platz
40,40,node,387487107,10.4043801,53.2384105,POINT (10.4043801 53.2384105),7,3.0,Kurpark
41,41,node,387487109,10.4044333,53.2404345,POINT (10.4044333 53.2404345),7,3.0,Uelzener Straße (Kurzentrum)
42,42,node,389040610,10.4052689,53.232103,POINT (10.4052689 53.232103),5,6.0,Munstermannskamp
43,43,node,403012157,10.3746107,53.2148267,POINT (10.3746107 53.2148267),3,0.0,Osterwiese
44,44,node,403012162,10.371994,53.2117385,POINT (10.371994 53.2117385),4,0.0,Klosterweg
45,45,node,409745030,10.3959836,53.2326736,POINT (10.3959836 53.2326736),3,3.0,Ginsterweg
46,46,node,410742086,10.4223308,53.2459133,POINT (10.4223308 53.2459133),9,13.0,Am Schwalbenberg
47,47,node,410750968,10.4072015,53.245682,POINT (10.4072015 53.245682),8,6.0,Wallstraße (Theater)
48,48,node,410750969,10.4038332,53.2429593,POINT (10.4038332 53.2429593),5,3.0,Postamt
49,49,node,410751815,10.3940989,53.2255233,POINT (10.3940989 53.2255233),1,4.0,Hasenburg
50,50,node,410751820,10.3854737,53.2211913,POINT (10.3854737 53.2211913),8,0.0,Eintracht Sportplatz
51,51,node,411082313,10.3816755,53.21947,POINT (10.3816755 53.21947),2,0.0,Am Bahnhof Rettmer
52,52,node,411082314,10.3746747,53.2134269,POINT (10.3746747 53.2134269),7,0.0,Wiesengrund
53,53,node,411085018,10.3783934,53.2099019,POINT (10.3783934 53.2099019),6,0.0,Pilgerpfad
54,54,node,411100376,10.3882696,53.2112187,POINT (10.3882696 53.2112187),1,0.0,Am Wischfeld
55,55,node,411100377,10.3879839,53.2138366,POINT (10.3879839 53.2138366),8,0.0,Hessenweg (Mitte)
56,56,node,411100378,10.3886319,53.2166547,POINT (10.3886319 53.2166547),3,0.0,Am Bäckfeld
57,57,node,411100381,10.387037,53.2197354,POINT (10.387037 53.2197354),6,0.0,Häcklinger Weg
58,58,node,414134112,10.4076949,53.2439859,POINT (10.4076949 53.2439859),8,6.0,Stadttheater
59,59,node,414134154,10.3929476,53.244192,POINT (10.3929476 53.244192),4,4.0,Sültenweg
60,60,node,414137468,10.3881566,53.2461189,POINT (10.3881566 53.2461189),4,4.0,Am Grasweg
61,61,node,414154230,10.3847644,53.2489566,POINT (10.3847644 53.2489566),3,5.0,Jägerstraße
62,62,node,414160019,10.3874009,53.2494991,POINT (10.3874009 53.2494991),5,5.0,Johanna-Stegen-Straße
63,63,node,414160021,10.3924213,53.2500778,POINT (10.3924213 53.2500778),4,5.0,Vor dem Neuen Tore
64,64,node,414165032,10.3938125,53.2511306,POINT (10.3938125 53.2511306),3,5.0,Dörnbergstraße
65,65,node,414165037,10.3923654,53.2565779,POINT (10.3923654 53.2565779),2,11.0,Witzendorffstraße
66,66,node,414167814,10.3911893,53.2614652,POINT (10.3911893 53.2614652),1,11.0,Ebelingweg
67,67,node,414191748,10.3852786,53.2693964,POINT (10.3852786 53.2693964),6,8.0,Naruto-Straße
68,68,node,414191934,10.3867792,53.2706226,POINT (10.3867792 53.2706226),8,8.0,Krähornsberg
69,69,node,414237514,10.3895463,53.2794573,POINT (10.3895463 53.2794573),8,8.0,Teilfeld
70,70,node,414576607,10.4044742,53.2699592,POINT (10.4044742 53.2699592),6,14.0,Wilhelm-Hänel-Weg
71,71,node,415596176,10.3891011,53.2686373,POINT (10.3891011 53.2686373),2,8.0,Am Wildgehege
72,72,node,415596178,10.3930618,53.255513,POINT (10.3930618 53.255513),9,11.0,Laffertstraße
73,73,node,415596179,10.3996894,53.2540821,POINT (10.3996894 53.2540821),6,14.0,Schomakerstraße
74,74,node,415596180,10.4002528,53.2521255,POINT (10.4002528 53.2521255),7,13.0,Am Springintgut
75,75,node,415596181,10.4027651,53.2509053,POINT (10.4027651 53.2509053),7,13.0,Am Graalwall
76,76,node,415596182,10.4040892,53.2478008,POINT (10.4040892 53.2478008),10,13.0,Neue Sülze
77,77,node,415596183,10.4031072,53.2456516,POINT (10.4031072 53.2456516),12,7.0,Lambertiplatz
78,78,node,415971822,10.4068106,53.2506572,POINT (10.4068106 53.2506572),5,13.0,Rathaus
79,79,node,417024690,10.4102138,53.2406193,POINT (10.4102138 53.2406193),8,6.0,Kefersteinstraße (UNI)
80,80,node,420486166,10.4452134,53.2035664,POINT (10.4452134 53.2035664),0,,Schützenstraße
81,81,node,430086361,10.4042363,53.255164,POINT (10.4042363 53.255164),4,14.0,Am Kreideberg
82,82,node,430086363,10.4020549,53.2556211,POINT (10.4020549 53.2556211),6,11.0,Stöteroggestraße (Süd)
83,83,node,430086365,10.3989629,53.2574691,POINT (10.3989629 53.2574691),2,11.0,Boizenburger Straße
84,84,node,430086366,10.3943921,53.2585943,POINT (10.3943921 53.2585943),5,11.0,Thorner Straße (West)
85,85,node,430086367,10.3997927,53.2595982,POINT (10.3997927 53.2595982),10,11.0,Thorner Platz
86,86,node,430086368,10.4032549,53.2606612,POINT (10.4032549 53.2606612),7,11.0,Salzwedeler Straße
87,87,node,430086370,10.4028514,53.2627146,POINT (10.4028514 53.2627146),4,11.0,Elbinger Straße
88,88,node,430086371,10.401462,53.2641491,POINT (10.401462 53.2641491),8,11.0,Dessauer Straße
89,89,node,430086372,10.3993732,53.266558,POINT (10.3993732 53.266558),3,11.0,Magdeburger Straße
90,90,node,430086374,10.3993537,53.2644566,POINT (10.3993537 53.2644566),7,11.0,Stöteroggestraße (Nord)
91,91,node,444017996,10.3832526,53.2287752,POINT (10.3832526 53.2287752),6,1.0,Hasenburger Weg
92,92,node,471792857,10.4599879,53.2437212,POINT (10.4599879 53.2437212),3,2.0,Lilienthalstraße
93,93,node,471794057,10.4625961,53.245733,POINT (10.4625961 53.245733),1,2.0,Von-Stern-Straße
94,94,node,471794059,10.4692372,53.249358,POINT (10.4692372 53.249358),3,2.0,Eisenwerk
95,95,node,471796358,10.4656699,53.248161,POINT (10.4656699 53.248161),2,2.0,Gebrüder-Heyn-Straße
96,96,node,471796360,10.4473637,53.2440639,POINT (10.4473637 53.2440639),2,2.0,Hagen-Schule
97,97,node,471796939,10.4425033,53.2452459,POINT (10.4425033 53.2452459),1,12.0,Wacholderweg
98,98,node,475959143,10.4381585,53.2465445,POINT (10.4381585 53.2465445),5,12.0,Ahornweg
99,99,node,522791942,10.3957654,53.2839468,POINT (10.3957654 53.2839468),6,8.0,Landwehr
100,100,node,522795523,10.3983505,53.2810195,POINT (10.3983505 53.2810195),4,8.0,Hagemannsweg
101,101,node,538482515,10.410347,53.2094935,POINT (10.410347 53.2094935),3,0.0,Rote Schleuse
102,102,node,538482521,10.4054578,53.22347,POINT (10.4054578 53.22347),4,0.0,Bernhard-Riemann-Straße
103,103,node,574834364,10.3744107,53.2644052,POINT (10.3744107 53.2644052),2,5.0,Kulturforum Wienebüttel
104,104,node,595316447,10.428384,53.2715467,POINT (10.428384 53.2715467),3,14.0,Schwarzer Weg
105,105,node,596510627,10.4541438,53.2614926,POINT (10.4541438 53.2614926),5,9.0,Gut Olm
106,106,node,596510630,10.4600774,53.2637503,POINT (10.4600774 53.2637503),3,9.0,Abzweigung Ebensberg
107,107,node,598165240,10.4436723,53.2608865,POINT (10.4436723 53.2608865),3,9.0,Hölderlinstraße
108,108,node,734659529,10.4399979,53.242081,POINT (10.4399979 53.242081),0,,Ostlandring
109,109,node,734659530,10.4423226,53.2409945,POINT (10.4423226 53.2409945),6,12.0,Freibad
110,110,node,795056872,10.4167169,53.26866,POINT (10.4167169 53.26866),3,8.0,Goebelstraße
111,111,node,818722480,10.4837546,53.2364276,POINT (10.4837546 53.2364276),2,2.0,Otto-Brenner-Straße (Kehre)
112,112,node,869281373,10.4057395,53.2669292,POINT (10.4057395 53.2669292),5,14.0,Sternkamp
113,113,node,871730916,10.4412818,53.2495011,POINT (10.4412818 53.2495011),2,12.0,Bunsenstraße
114,114,node,871731608,10.4400425,53.2473918,POINT (10.4400425 53.2473918),2,12.0,Bachstraße
115,115,node,902415882,10.3790788,53.2244958,POINT (10.3790788 53.2244958),9,1.0,Rosenkamp
116,116,node,902415888,10.3767866,53.2247574,POINT (10.3767866 53.2247574),3,1.0,Schmiedestraße
117,117,node,902415900,10.3725779,53.2263697,POINT (10.3725779 53.2263697),3,1.0,Rehrweg
118,118,node,915967687,10.3840653,53.249349,POINT (10.3840653 53.249349),2,5.0,Volgershall/UNI
119,119,node,924513262,10.397306,53.2407753,POINT (10.397306 53.2407753),9,4.0,Städtisches Klinikum
120,120,node,1039463414,10.4313902,53.2509696,POINT (10.4313902 53.2509696),5,12.0,Behördenzentrum (Ost)
121,121,node,1048704480,10.3880794,53.2543494,POINT (10.3880794 53.2543494),5,5.0,Psychiatrische Klinik
122,122,node,1108268733,10.4047332,53.2741646,POINT (10.4047332 53.2741646),2,8.0,Bei der Pferdehütte
123,123,node,1116593359,10.3812801,53.2465139,POINT (10.3812801 53.2465139),7,5.0,Alec-Moore-Straße
124,124,node,1116593365,10.3985975,53.2452478,POINT (10.3985975 53.2452478),10,5.0,Am Bargenturm
125,125,node,1116593369,10.4689526,53.2613986,POINT (10.4689526 53.2613986),1,9.0,Heidkoppelweg
126,126,node,1116593371,10.4680489,53.2602671,POINT (10.4680489 53.2602671),4,9.0,Memeler Straße
127,127,node,1116593375,10.38069,53.2448537,POINT (10.38069 53.2448537),3,5.0,William-Watt-Straße
128,128,node,1116593381,10.463416,53.2641335,POINT (10.463416 53.2641335),4,9.0,Allensteiner Straße
129,129,node,1116593396,10.3849708,53.2479273,POINT (10.3849708 53.2479273),3,5.0,Jüttkenmoor
130,130,node,1116593409,10.4720436,53.2599796,POINT (10.4720436 53.2599796),6,9.0,Am Ziegeleiteich
131,131,node,1156522335,10.4425957,53.2755805,POINT (10.4425957 53.2755805),0,,Steinweg
132,132,node,1181280550,10.4083952,53.235035,POINT (10.4083952 53.235035),2,6.0,Friedrich-Ludwig-Jahn-Straße
133,133,node,1181280590,10.4097351,53.2437968,POINT (10.4097351 53.2437968),6,6.0,Rotes Tor
134,134,node,1181280625,10.4104754,53.2351006,POINT (10.4104754 53.2351006),6,6.0,Goethestraße
135,135,node,1181280845,10.4519518,53.2428075,POINT (10.4519518 53.2428075),3,2.0,Hagen Wendeplatz
136,136,node,1181280913,10.4278875,53.2510849,POINT (10.4278875 53.2510849),10,9.0,Hopfengarten
137,137,node,1181280956,10.4108562,53.2377319,POINT (10.4108562 53.2377319),9,6.0,Wielandstraße
138,138,node,1181280963,10.4349723,53.2509447,POINT (10.4349723 53.2509447),4,12.0,Hans-Steffens-Weg
139,139,node,1181280987,10.4047485,53.222771,POINT (10.4047485 53.222771),4,0.0,Gaußstraße
140,140,node,1181281148,10.4039471,53.2267352,POINT (10.4039471 53.2267352),5,6.0,Heinrich-Böll-Straße
141,141,node,1187269501,10.4015929,53.2275296,POINT (10.4015929 53.2275296),5,3.0,Carl-von-Ossietzky-Straße
142,142,node,1195426701,10.478437,53.2423045,POINT (10.478437 53.2423045),5,2.0,Otto-Brenner-Straße
143,143,node,1195426702,10.4592049,53.2448717,POINT (10.4592049 53.2448717),7,2.0,Flugplatz
144,144,node,1195426707,10.4459578,53.2455633,POINT (10.4459578 53.2455633),5,2.0,Walter-Bötcher-Straße
145,145,node,1195426708,10.4492537,53.2461948,POINT (10.4492537 53.2461948),3,2.0,Stadtkoppel
146,146,node,1195426715,10.4778019,53.2402935,POINT (10.4778019 53.2402935),2,2.0,Kurt-Höbold-Straße
147,147,node,1195426718,10.4429666,53.2447657,POINT (10.4429666 53.2447657),2,12.0,Richard-Brauer-Straße
148,148,node,1195426726,10.477347,53.2465791,POINT (10.477347 53.2465791),5,2.0,Elso-Klöver-Straße
149,149,node,1195426727,10.4300483,53.2478555,POINT (10.4300483 53.2478555),8,12.0,Gellersstraße
150,150,node,1195426730,10.4760492,53.2390287,POINT (10.4760492 53.2390287),8,2.0,Wilhelm-Fressel-Straße
151,151,node,1321746678,10.3914278,53.2407532,POINT (10.3914278 53.2407532),3,4.0,Schildsteinweg
152,152,node,1348734466,10.4121817,53.2554488,POINT (10.4121817 53.2554488),4,8.0,Finanzamt
153,153,node,1348734468,10.4105509,53.2603115,POINT (10.4105509 53.2603115),3,14.0,Auf dem Schmaarkamp
154,154,node,1348734473,10.4136152,53.2583328,POINT (10.4136152 53.2583328),0,,Auf der Hude
155,155,node,1349023125,10.3849925,53.2598361,POINT (10.3849925 53.2598361),5,5.0,Tennispark
156,156,node,1349023151,10.3866216,53.256493,POINT (10.3866216 53.256493),2,5.0,Brockwinkler Weg
157,157,node,1580923936,10.4055348,53.2094134,POINT (10.4055348 53.2094134),5,0.0,Neu Häcklingen
158,158,node,1757030062,10.4069669,53.2650556,POINT (10.4069669 53.2650556),2,14.0,Zeltberg
159,159,node,1781853981,10.3675583,53.2652064,POINT (10.3675583 53.2652064),2,5.0,Pumpenstation
160,160,node,2015120617,10.4260987,53.2788106,POINT (10.4260987 53.2788106),2,14.0,Vrestorfer Weg
161,161,node,2328939473,10.384344,53.2382175,POINT (10.384344 53.2382175),9,4.0,Teufelsküche
162,162,node,2632455483,10.388196,53.23946,POINT (10.388196 53.23946),8,4.0,Ernst-Braune-Straße
163,163,node,2745085368,10.4010697,53.2300356,POINT (10.4010697 53.2300356),5,1.0,Leuphana
164,164,node,2848418354,10.4227875,53.2748865,POINT (10.4227875 53.2748865),8,14.0,Lüner Rennbahn
165,165,node,2848418355,10.4249277,53.2727519,POINT (10.4249277 53.2727519),9,14.0,Schlachthof
166,166,node,2878572398,10.4613219,53.2384976,POINT (10.4613219 53.2384976),8,2.0,Auf den Blöcken
167,167,node,2973160587,10.4128482,53.2697777,POINT (10.4128482 53.2697777),1,8.0,Bessemerstraße
168,168,node,3007498666,10.4362805,53.2390035,POINT (10.4362805 53.2390035),6,10.0,SZ Kaltenmoor
169,169,node,3008184424,10.3697803,53.2139069,POINT (10.3697803 53.2139069),4,0.0,Rettmer (Mitte)
170,170,node,3010809632,10.4233448,53.2609955,POINT (10.4233448 53.2609955),6,9.0,Kloster Lüne
171,171,node,3046813394,10.3977854,53.2356105,POINT (10.3977854 53.2356105),5,3.0,Hasenburger Berg
172,172,node,3046813396,10.3988728,53.2370178,POINT (10.3988728 53.2370178),4,3.0,Zentralfriedhof
173,173,node,3056385717,10.3850037,53.2362354,POINT (10.3850037 53.2362354),7,4.0,Am Eiskeller
174,174,node,3056385718,10.3884282,53.2356314,POINT (10.3884282 53.2356314),10,4.0,Auf dem Knieberg
175,175,node,3056385719,10.3931163,53.235028,POINT (10.3931163 53.235028),7,4.0,Heidkamp
176,176,node,3056385720,10.3876742,53.2375288,POINT (10.3876742 53.2375288),4,7.0,Meinekenhop
177,177,node,3056385721,10.38936,53.2358785,POINT (10.38936 53.2358785),5,4.0,Ringstraße
178,178,node,3109981532,10.4016865,53.241219,POINT (10.4016865 53.241219),4,3.0,Soltauer Straße (Kurzentrum)
179,179,node,3136293741,10.4094815,53.2457263,POINT (10.4094815 53.2457263),9,6.0,Clamartpark
180,180,node,3191900781,10.3973858,53.2331247,POINT (10.3973858 53.2331247),4,7.0,Hasenburger Schule
181,181,node,3191932659,10.3809308,53.2237159,POINT (10.3809308 53.2237159),14,1.0,Rosenkamp Wendeplatz
182,182,node,3191932961,10.3918692,53.2298285,POINT (10.3918692 53.2298285),3,1.0,Övelgönner Weg
183,183,node,3227603542,10.4086651,53.2627692,POINT (10.4086651 53.2627692),7,14.0,Königsberger Straße
184,184,node,3233157084,10.4180528,53.2668709,POINT (10.4180528 53.2668709),2,8.0,Am Graben
185,185,node,3233157086,10.4098875,53.2716586,POINT (10.4098875 53.2716586),2,8.0,Böcklerstraße/TÜV
186,186,node,3233157088,10.4189258,53.2623711,POINT (10.4189258 53.2623711),3,8.0,Eisenbahnbrücke
187,187,node,3233157090,10.4181483,53.2646288,POINT (10.4181483 53.2646288),2,8.0,Goseburgstraße
188,188,node,3233157092,10.4165325,53.2608424,POINT (10.4165325 53.2608424),3,8.0,Ilmenaucenter
189,189,node,3233157094,10.4169116,53.2561248,POINT (10.4169116 53.2561248),1,14.0,Konrad-Zuse-Allee
190,190,node,3241135968,10.4232857,53.2813577,POINT (10.4232857 53.2813577),3,14.0,EDEKA
191,191,node,3273986768,10.3863261,53.2570492,POINT (10.3863261 53.2570492),0,,Brockwinklerweg
192,192,node,3338569132,10.4132004,53.2387357,POINT (10.4132004 53.2387357),3,7.0,An der Roten Bleiche (Universität)
193,193,node,3338569134,10.4137315,53.2420275,POINT (10.4137315 53.2420275),4,7.0,Feldstraße (Universität)
194,194,node,3348003479,10.3982108,53.2619427,POINT (10.3982108 53.2619427),1,11.0,GHS Kreideberg
195,195,node,3348003480,10.3913545,53.2558772,POINT (10.3913545 53.2558772),5,11.0,Herderschule
196,196,node,3348003482,10.4164645,53.2323864,POINT (10.4164645 53.2323864),8,7.0,Spechtsweg
197,197,node,3350545356,10.4842206,53.2356735,POINT (10.4842206 53.2356735),9,2.0,Kanalbrücke
198,198,node,3770564722,10.3723079,53.2104621,POINT (10.3723079 53.2104621),2,0.0,Veilchenring
199,199,node,6104223415,10.4329656,53.2528511,POINT (10.4329656 53.2528511),5,12.0,Tartuer Platz
200,200,node,7061659845,10.4451221,53.2312612,POINT (10.4451221 53.2312612),7,10.0,Konrad-Adenauer-Straße Ost
