,bus,highway,lines,name,network,operator,public_transport,ref_name,shelter,wheelchair,latitude,longitude,id,bench,route_ref,tactile_paving,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,local_ref,covered,note,ref,departures_board,fixme,removed:ref_name,description,comment,check_date:tactile_paving,toilets:wheelchair,bicycle_parking,line,source,surface
203,,bus_stop,,Weinbergsweg,HVV,KVG,platform,"Adendorf, Weinbergsweg",no,,53.2853241,10.4327963,741395555,no,,no,yes,,,,yes,2021-03-28,,,,,,,,,,,,,,,,
204,yes,bus_stop,,Goebelstraße,HVV,KVG,platform,"Lüneburg, Goebelstraße",no,,53.2686600,10.4167169,795056872,,5005;ASM,,,,,,,,,,,,,,,,,,,,,,,
205,yes,bus_stop,,Grüner Weg,HVV,KVG,platform,"Adendorf, Grüner Weg",no,,53.2729470,10.4323520,800462877,no,,no,yes,,,,no,,,,,Position eingemessen,,,,,,,,,,,,
206,,bus_stop,,Lindenweg,HVV,KVG,platform,"Adendorf, Lindenweg",,,53.2730333,10.4380841,800463848,,,,,,,,,,,,,,,,,,,,,,,,,
207,,bus_stop,,Lindenweg,HVV,KVG,platform,"Adendorf, Lindenweg",,,53.2728009,10.4368635,800464535,,,,,,,,,,,,,,,,,,,,,,,,,
208,,bus_stop,,Wilhelm-Hänel-Weg,HVV,KVG,platform,"Lüneburg, Wilhelm-Hänel-Weg",no,,53.2686790,10.4050523,869281361,no,5002;5402;5405;ASM,no,,,,,,,,,,,,,,,,,,,,,,
209,,bus_stop,,Sternkamp,HVV,KVG,platform,"Lüneburg, Sternkamp",no,,53.2669292,10.4057395,869281373,no,5002;5402;5405;ASM,no,,,,,,,,,,,,,,,,,,,,,,
210,,bus_stop,,Kirchweg,HVV,KVG,platform,"Adendorf, Kirchweg",no,,53.2786980,10.4363740,871256635,no,,no,yes,,,,no,2021-02-27,,,,Position eingemessen,,,,,,,,,,,,
211,,bus_stop,,Kirchweg,HVV,KVG,platform,"Adendorf, Kirchweg",yes,,53.2791530,10.4369940,871256637,yes,,no,yes,,,,yes,,,,,Position eingemessen,,,,,,,,,,,,
212,yes,bus_stop,5012,Bunsenstraße,HVV,KVG,platform,"Lüneburg, Bunsenstraße",yes,,53.2495011,10.4412818,871730916,yes,,no,,,,,,,,,,,,,,,,,,,,,,
213,yes,bus_stop,5012,Bachstraße,HVV,KVG,platform,"Lüneburg, Bachstraße",no,,53.2473918,10.4400425,871731608,no,,no,,,,,,,,,,,,,,,,,,,,,,
214,yes,bus_stop,"5007,5920",Rosenkamp,HVV,KVG,platform,"Lüneburg, Rosenkamp",yes,,53.2244958,10.3790788,902415882,,,yes,,,,,,,,,,,,,,,,,,,,,,
215,yes,bus_stop,"5007,5920",Schmiedestraße,HVV,KVG,platform,"Lüneburg, Schmiedestraße",no,,53.2247574,10.3767866,902415888,,,,,,,,,,,,,,,,,,,,,,,,,
216,yes,bus_stop,"5007,5920",Rosenkamp,HVV,KVG,platform,"Lüneburg, Rosenkamp",no,,53.2242601,10.3792780,902415892,,,,,,,,,,,,,,,,,,,,,,,,,
217,yes,bus_stop,"5007,5920",Rehrweg,HVV,KVG,platform,"Lüneburg, Rehrweg",yes,,53.2263697,10.3725779,902415900,no,,yes,no,,,,,,"Kein Kasseler Bord, aber Hochbord",,,,,,,,,,2021-01-09,,,,,
218,yes,bus_stop,"5007,5920",Schmiedestraße,HVV,KVG,platform,"Lüneburg, Schmiedestraße",,,53.2250247,10.3759237,902415912,,,yes,,,,,,,,,,,,,,,,,,,,,,
219,yes,bus_stop,"5007,5920",Rehrweg,HVV,KVG,platform,"Lüneburg, Rehrweg",yes,,53.2264299,10.3728183,902415927,yes,,yes,no,,,,,2021-01-09,"Kein Kasseler Bord, aber Hochbord",,,,,,,,,,2021-01-09,,,,,
220,,bus_stop,,Volgershall/UNI,HVV,KVG,platform,"Lüneburg, Volgershall/UNI",no,yes,53.2493490,10.3840653,915967687,no,,yes,,,,,,,,,,,,,,,,,,,,,,
221,yes,bus_stop,"5920, 5003",Städtisches Klinikum,HVV,KVG,platform,"Lüneburg, Städtisches Klinikum",yes,yes,53.2407753,10.3973060,924513262,yes,,no,,,,,,,,,,,,,,,,,,yes,,,,
222,yes,bus_stop,"5007, 5003",Städtisches Klinikum,HVV,KVG,platform,"Lüneburg, Städtisches Klinikum",no,yes,53.2408905,10.3972543,924513361,no,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,yes,,,,
223,,bus_stop,,Gerhart-Hauptmann-Straße,HVV,KVG,platform,"Reppenstedt, Gerhart Hauptmann Straße",yes,,53.2463836,10.3395324,975589762,,5013;5202;ASM,,,,,,,,,,,,,,,,,,,,,,,
224,yes,bus_stop,,Händelstraße,HVV,KVG,platform,"Reppenstedt, Händelstraße",yes,,53.2517922,10.3420038,975591759,,5013,,,,,,,,,,,,,,,,,,,,,,,
225,yes,bus_stop,,Alter Postweg,,,platform,"Reppenstedt, Alter Postweg",no,,53.2525452,10.3435316,975592030,,5013;ASM,,,,,,,,,,,,,,,,,,,,,,,
226,yes,bus_stop,,Lessingstraße,HVV,KVG,platform,"Reppenstedt, Lessingstraße",yes,,53.2496234,10.3398479,976359559,,5013;5202;ASM,,,,,,,,,,,,,,,,,,,,,,,
227,yes,bus_stop,,Am Fuchsberg,HVV,KVG,platform,"Reppenstedt, Am Fuchsberg",no,,53.2531473,10.3473817,976364837,,5013;ASM,,,,,,,,,,,,,,,,,,,,,,,
228,yes,bus_stop,,Im Westerfelde,HVV,KVG,platform,"Reppenstedt, Im Westerfelde",no,,53.2522281,10.3494760,976366479,,5013;ASM,,,,,,,,,,,,,,,,,,,,,,,
229,,bus_stop,5012,Behördenzentrum (Ost),HVV,KVG,platform,"Lüneburg, Behördenzentrum (Ost)",yes,,53.2509696,10.4313902,1039463414,,,no,,,,,,,,,,,,,,,,,,,,,,
230,,bus_stop,,Psychiatrische Klinik,HVV,KVG,platform,"Lüneburg, Psychiatrische Klinik",yes,limited,53.2543494,10.3880794,1048704480,,5009;ASM,no,,,,,,,,,,,,,,,,,,,,,,
231,,bus_stop,,Bei der Pferdehütte,HVV,KVG,platform,"Lüneburg, Bei der Pferdehütte",yes,,53.2741646,10.4047332,1108268733,yes,5005;ASM,no,yes,,,,yes,,,,,,,,,,,,,,,,,
232,,bus_stop,,Alec-Moore-Straße,HVV,KVG,platform,"Lüneburg, Alec-Moore-Straße",no,,53.2465139,10.3812801,1116593359,no,,no,,,,,,,,,,,,,,,,,,,,,,
233,,bus_stop,,Hölderlinstraße,HVV,KVG,platform,"Lüneburg, Hölderlinstraße",no,,53.2607287,10.4451929,1116593361,,,,,,,,,,,,,,,,,,,,,,,,,
234,yes,bus_stop,,Am Bargenturm,HVV,KVG,platform,"Lüneburg, Am Bargenturm",no,limited,53.2452478,10.3985975,1116593365,no,,no,,,,,,,,,,,,,,,,,,,,,,
235,,bus_stop,,Heidkoppelweg,HVV,KVG,platform,"Lüneburg, Heidkoppelweg",,,53.2613986,10.4689526,1116593369,,,,,,,,,,,,,,,,,,,,,,,,,
236,,bus_stop,,Memeler Straße,HVV,KVG,platform,"Lüneburg, Memeler Straße",,,53.2602671,10.4680489,1116593371,,,,,,,,,,,,,,,,,,,,,,,,,
237,,bus_stop,,William-Watt-Straße,HVV,KVG,platform,"Lüneburg, William-Watt-Straße",yes,,53.2448537,10.3806900,1116593375,yes,,no,,,,,,,,,,,,,,,,,,,,,,
238,yes,bus_stop,,Allensteiner Straße,HVV,KVG,platform,"Lüneburg, Allensteiner Straße",,,53.2641335,10.4634160,1116593381,,,,,,,,,,,,,,,,,,,,,,,,,
239,yes,bus_stop,,Alec-Moore-Straße,HVV,KVG,platform,"Lüneburg, Alec-Moore-Straße",no,,53.2467615,10.3820658,1116593384,no,,no,,,,,,,,,,,,,,,,,,,,,,
240,yes,bus_stop,,Allensteiner Straße,HVV,KVG,platform,"Lüneburg, Allensteiner Straße",,,53.2639573,10.4633933,1116593386,,,,,,,,,,,,,,,,,,,,,,,,,
241,,bus_stop,,Am Grasweg,HVV,KVG,platform,"Lüneburg, Am Grasweg",yes,,53.2462357,10.3878744,1116593391,yes,5015;ASM,no,,,,,,,,,,,,,,,,,,,,,,
242,,bus_stop,,Jüttkenmoor,HVV,KVG,platform,"Lüneburg, Jüttkenmoor",no,,53.2479273,10.3849708,1116593396,no,5015;ASM,no,,,,,yes,,,,,,,,,,,,,,,,,
243,,bus_stop,,Jüttkenmoor,HVV,KVG,platform,"Lüneburg, Jüttkenmoor",yes,,53.2478421,10.3852141,1116593402,yes,5015;ASM,no,yes,,,,yes,,,,,,,,,,,,,,,,,
244,yes,bus_stop,,Am Bargenturm,HVV,KVG,platform,"Lüneburg, Am Bargenturm",no,limited,53.2448883,10.3978454,1116593403,yes,,no,,,,,,,,,,,,,,,,,,,,,,
245,,bus_stop,,Am Ziegeleiteich,HVV,KVG,platform,"Lüneburg, Am Ziegeleiteich",yes,,53.2599796,10.4720436,1116593409,,5015;5901;5918,,,,,,,,,,,,,,,,,,,,,,,
246,yes,bus_stop,5002;5005;5009;5010;5013;5014;5015;5200;5202;5405,Lambertiplatz,HVV,KVG,platform,"Lüneburg, Lambertiplatz",no,yes,53.2456921,10.4032231,1116773357,no,,no,yes,,,,no,,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,,
247,,bus_stop,,Vor dem Neuen Tore,HVV,KVG,platform,"Lüneburg, Vor dem Neuen Tore",no,,53.2499815,10.3895808,1137687948,no,,no,,,,,,,,,no,,,,,,,,,,,,,
248,,bus_stop,,Ostlandstraße (Schule),HVV,KVG,platform,"Reppenstedt, Ostlandstraße Schule",,,53.2485861,10.3500738,1137687985,,,,,,,,,,,,,,,,,,,,,,,,,
249,,bus_stop,,Schnellenberger Weg,HVV,KVG,platform,"Reppenstedt, Lüneburger Landstraße",yes,,53.2477958,10.3639159,1137688091,,,,,,,,,,,,,,,,,,,,,,,,,
250,yes,bus_stop,,Am Graalwall,HVV,KVG,platform,"Lüneburg, Am Graalwall",no,,53.2509790,10.4026090,1137688164,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,,
251,yes,bus_stop,,Ostlandstraße Spielplatz,HVV,KVG,platform,"Reppenstedt, Ostlandstraße Spielplatz",yes,,53.2483843,10.3433004,1137688221,,5013;5202;ASM,,,,,,,,,,,,,,,,,,,,,,,
252,,bus_stop,,Am Lerchenberg,HVV,KVG,platform,"Reppenstedt, Am Lerchenberg",yes,yes,53.2470042,10.3674726,1137688232,,,yes,,,,,,,,,,,,,,,,,,,,,,
253,,bus_stop,,Am Schwarzen Berg,HVV,KVG,platform,"Reppenstedt, Am Schwarzen Berg",,,53.2453669,10.3434432,1137688247,,,,,,,,,,,,,,,,,,,,,,,,,
254,,bus_stop,,Steinweg,HVV,KVG,platform,"Adendorf, Steinweg",,,53.2755805,10.4425957,1156522335,,,,,,,,,,,,,,,,,,,,,,,,,
255,,bus_stop,,Im Gutspark,HVV,KVG,platform,"Adendorf, Im Gutspark",no,,53.2861840,10.4468141,1156522398,no,5007;5920,no,no,,,,yes,2021-07-22,,,,,,,,,,,,,,,,
256,,bus_stop,,Virchowstraße,HVV,KVG,platform,"Adendorf, Virchowstraße",no,,53.2814563,10.4469601,1156522399,yes,5925,yes,,,,,,,,,,,,,,,,,,,,,,
257,,bus_stop,,Virchowstraße,HVV,KVG,platform,"Adendorf, Virchowstraße",no,,53.2812635,10.4469728,1156522406,no,5925,yes,,,,,,,,,,,,,,,,,,,,,,
258,,bus_stop,,Steinweg,HVV,KVG,platform,"Adendorf, Steinweg",,,53.2750893,10.4421910,1156522409,,,,,,,,,,,,,,,,,,,,,,,,,
259,yes,bus_stop,5012,Friedrich-Ludwig-Jahn-Straße,HVV,KVG,platform,"Lüneburg, Friedrich-Ludwig-Jahn-Straße",yes,,53.2350350,10.4083952,1181280550,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,
260,yes,bus_stop,5012,Rotes Tor,HVV,KVG,platform,"Lüneburg, Rotes Tor",no,,53.2437968,10.4097351,1181280590,no,,no,yes,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,,
261,yes,bus_stop,5012,Goethestraße,HVV,KVG,platform,"Lüneburg, Goethestraße",yes,,53.2351006,10.4104754,1181280625,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,
262,,bus_stop,5012,Behördenzentrum (Ost),HVV,KVG,platform,"Lüneburg, Behördenzentrum (Ost)",yes,,53.2510324,10.4306238,1181280702,yes,,,,,,,,,,,,,,,,,,,,,,,,
263,yes,bus_stop,5012,Bunsenstraße,HVV,KVG,platform,"Lüneburg, Bunsenstraße",no,,53.2494425,10.4411340,1181280826,no,,no,,,,,,,,,,,,,,,,,,,,,,
264,yes,bus_stop,5012,Hagen Wendeplatz,HVV,KVG,platform,"Lüneburg, Hagen (Wendeplatz)",,,53.2428075,10.4519518,1181280845,,,,,,,,,,,,,,,,,,,,,,,,,
265,yes,bus_stop,5012,Bachstraße,HVV,KVG,platform,"Lüneburg, Bachstraße",no,,53.2473003,10.4400335,1181280891,no,,no,,,,,,,,,,,,,,,,,,,,,,
266,yes,bus_stop,5012,Goethestraße,HVV,KVG,platform,"Lüneburg, Goethestraße",no,,53.2352269,10.4102835,1181280904,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,
267,,bus_stop,5012,Hopfengarten,HVV,KVG,platform,"Lüneburg, Hopfengarten",no,,53.2510849,10.4278875,1181280913,no,,no,no,,,,yes,,,,,,,,,,,,,,,,,
268,yes,bus_stop,5012,Wielandstraße,HVV,KVG,platform,"Lüneburg, Wielandstraße",no,,53.2377319,10.4108562,1181280956,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,
269,,bus_stop,5012,Hans-Steffens-Weg,HVV,KVG,platform,"Lüneburg, Hans-Steffens-Weg",no,,53.2509447,10.4349723,1181280963,,,,,,,,,,,,,,,,,,,,,,,,,
270,,bus_stop,5012,Gaußstraße,HVV,KVG,platform,"Lüneburg, Gaußstraße",,,53.2227710,10.4047485,1181280987,,,,,,,,,,,,,,,,,,,,,,,,,
271,yes,bus_stop,5012,Rotes Tor,HVV,KVG,platform,"Lüneburg, Rotes Tor",no,,53.2439710,10.4098558,1181281013,no,,no,no,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,,
272,yes,bus_stop,5012,Blücherstraße,HVV,KVG,platform,"Lüneburg, Blücherstraße",no,,53.2313787,10.3999073,1181281030,,,no,,,,,,,,,,,,,,,,,,,,,,
273,yes,bus_stop,5012,Friedrich-Ludwig-Jahn-Straße,HVV,KVG,platform,"Lüneburg, Friedrich-Ludwig-Jahn-Straße",yes,,53.2351586,10.4084849,1181281096,yes,,no,,,,,,,,,,,,,,,,,,,,,,
274,yes,bus_stop,,Scharnhorststraße/DJH,HVV,KVG,platform,"Lüneburg, Scharnhorststraße/DJH",yes,,53.2299494,10.3970479,1181281106,yes,,yes,,,,,,,,,,,,,,,,,,,,,,
275,,bus_stop,5012,Wichernstraße,HVV,KVG,platform,"Lüneburg, Wichernstraße",,,53.2266397,10.3980060,1181281132,,,,,,,,,,,,,,,,,,,,,,,,,
276,,bus_stop,5012,Heinrich-Böll-Straße,HVV,KVG,platform,"Lüneburg, Heinrich-Böll-Straße",yes,,53.2267352,10.4039471,1181281148,,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,
277,yes,bus_stop,5012,Hagen Wendeplatz,HVV,KVG,platform,"Lüneburg, Hagen (Wendeplatz)",,,53.2429833,10.4517648,1181281179,,,,,,,,,,,,,,,,,,,,,,,,,
278,,bus_stop,5012,Hans-Steffens-Weg,HVV,KVG,platform,"Lüneburg, Hans-Steffens-Weg",,,53.2508568,10.4349653,1181281208,,,,,,,,,,,,,,,,,,,,,,,,,
279,,bus_stop,5012,Hopfengarten,HVV,KVG,platform,"Lüneburg, Hopfengarten",yes,,53.2510042,10.4283903,1181281260,yes,,no,,,,,no,,,,,,,,,,,,,,,,,
280,yes,bus_stop,5012,Wielandstraße,HVV,KVG,platform,"Lüneburg, Wielandstraße",no,,53.2376071,10.4107257,1181281280,no,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,
281,,bus_stop,5012,Carl-von-Ossietzky-Straße,HVV,KVG,platform,"Lüneburg, Carl-von-Ossietzky-Straße",yes,,53.2275296,10.4015929,1187269501,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,
282,yes,bus_stop,5010,Otto-Brenner-Straße,HVV,KVG,platform,"Lüneburg, Otto-Brenner-Straße",no,,53.2423045,10.4784370,1195426701,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
283,,bus_stop,5010,Flugplatz,HVV,KVG,platform,"Lüneburg, Flugplatz",no,,53.2448717,10.4592049,1195426702,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
284,yes,bus_stop,5010,Schützenstraße,HVV,KVG,platform,"Lüneburg, Schützenstraße",no,,53.2446455,10.4348678,1195426704,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
285,yes,bus_stop,5010,Walter-Bötcher-Straße,HVV,KVG,platform,"Lüneburg, Walter-Bötcher-Straße",no,limited,53.2455633,10.4459578,1195426707,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
286,yes,bus_stop,5010,Stadtkoppel,HVV,KVG,platform,"Lüneburg, Auf den Blöcken",no,,53.2461948,10.4492537,1195426708,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
287,,bus_stop,5010,Kurt-Höbold-Straße,HVV,KVG,platform,"Lüneburg, Kurt-Höbold-Straße",no,,53.2402935,10.4778019,1195426715,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
288,yes,bus_stop,5010,Richard-Brauer-Straße,HVV,KVG,platform,"Lüneburg, Richard-Brauer-Straße",no,,53.2447657,10.4429666,1195426718,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
289,,bus_stop,5010,Elso-Klöver-Straße,HVV,KVG,platform,"Lüneburg, Elso-Klöver-Straße",no,,53.2465791,10.4773470,1195426726,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
290,yes,bus_stop,5010;5100;5120;5300;5304,Gellersstraße,HVV,KVG,platform,"Lüneburg, Gellersstraße",no,,53.2478555,10.4300483,1195426727,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
291,,bus_stop,5010,Wilhelm-Fressel-Straße,HVV,KVG,platform,"Lüneburg, Wilhelm-Fressel-Straße",no,,53.2390287,10.4760492,1195426730,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
292,yes,bus_stop,5010,Otto-Brenner-Straße,HVV,KVG,platform,"Lüneburg, Otto-Brenner-Straße",no,,53.2424374,10.4781812,1195426731,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
293,,bus_stop,5010,Flugplatz,HVV,KVG,platform,"Lüneburg, Flugplatz",no,,53.2449658,10.4591935,1195426732,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
294,yes,bus_stop,5010,Schützenstraße,HVV,KVG,platform,"Lüneburg, Schützenstraße",yes,,53.2448143,10.4348734,1195426733,yes,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
295,,bus_stop,5010,Kurt-Höbold-Straße,HVV,KVG,platform,"Lüneburg, Kurt-Höbold-Straße",no,,53.2403815,10.4777480,1195426735,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
296,yes,bus_stop,5010,Richard-Brauer-Straße,HVV,KVG,platform,"Lüneburg, Richard-Brauer-Straße",no,,53.2447832,10.4428513,1195426736,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,,
297,yes,bus_stop,5010,Walter-Bötcher-Straße,HVV,KVG,platform,"Lüneburg, Walter-Bötcher-Straße",no,,53.2461867,10.4472107,1195426737,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
298,yes,bus_stop,5010,Stadtkoppel,HVV,KVG,platform,"Lüneburg, Auf den Blöcken",no,,53.2464486,10.4489784,1195426739,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
299,yes,bus_stop,5010,Ostlandring,HVV,KVG,platform,"Lüneburg, Ostlandring",no,,53.2420938,10.4395711,1195426740,no,,no,yes,20141026,no,"Lüneburg, Ostlandring",,,,,,,,,,,,,,,,,,
300,yes,bus_stop,5010;5100;5120;5300;5304,Gellersstraße,HVV,KVG,platform,"Lüneburg, Gellersstraße",no,,53.2481414,10.4290289,1195426743,no,,no,yes,20141123,no,"Lüneburg, Gellersstraße",,,,,,,,,,,,,,,,,,
301,,bus_stop,5010,Elso-Klöver-Straße,HVV,KVG,platform,"Lüneburg, Elso-Klöver-Straße",no,,53.2464799,10.4775424,1195426745,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,,
302,yes,bus_stop,5003,Schildsteinweg,HVV,KVG,platform,"Lüneburg, Schildsteinweg",no,,53.2407532,10.3914278,1321746678,no,,no,yes,,,,,,Kein Kasseler Bord,,,Richtung SZ Oedeme / Teufelsküche,,,,,,,,,,,,
303,yes,bus_stop,,Finanzamt,HVV,KVG,platform,"Lüneburg, Finanzamt",no,,53.2554488,10.4121817,1348734466,no,,no,,,,,,,,,,,,,,,,,,,,,,
304,yes,bus_stop,,Auf dem Schmaarkamp,HVV,KVG,platform,"Lüneburg, Auf dem Schmaarkamp",no,,53.2603115,10.4105509,1348734468,no,,no,,,,,,,,,,,,,,,,,,,,,,
305,yes,bus_stop,,Auf der Hude,HVV,KVG,platform,"Lüneburg, Auf der Hude",no,,53.2583328,10.4136152,1348734473,no,5002;ASM,no,yes,,,,,,,,,,,,,,,,,,,,,
306,yes,bus_stop,,Auf der Hude,HVV,KVG,platform,"Lüneburg, Auf der Hude",no,,53.2583539,10.4134962,1348734475,yes,5002;5405;ASM,yes,yes,,,,,,,,,,,,,,,,,,,,,
307,,bus_stop,,Sternkamp,HVV,KVG,platform,"Lüneburg, Sternkamp",yes,,53.2675389,10.4053237,1348734476,,5002;5402;5405;ASM,,,,,,,,,,,,,,,,,,,,,,,
308,,bus_stop,5404; ASM,Lüneburger Straße,HVV,KVG,platform,"Vögelsen, Lüneburger Straße",no,limited,53.2744912,10.3540850,1349023101,no,,no,,,,,,,,,,,,,,,,,,,,,,
309,yes,bus_stop,,Tennispark,HVV,KVG,platform,"Lüneburg, Tennispark",yes,limited,53.2598361,10.3849925,1349023125,yes,,no,no,,,,no,,,,,,,,,,,,,,,,,
310,,bus_stop,,Kiefernweg,HVV,KVG,platform,"Vögelsen, Kiefernweg",no,limited,53.2753237,10.3526052,1349023126,no,5009;5404;ASM,no,,,,,,,,,,,,,,,,,,,,,,
311,yes,bus_stop,,Tennispark,HVV,KVG,platform,"Lüneburg, Tennispark",no,limited,53.2598965,10.3851752,1349023146,no,,no,no,,,,yes,,,,,,,,,,,,,,,,,
