,bus,highway,lines,name,network,operator,public_transport,ref_name,shelter,wheelchair,latitude,longitude,id,bench,route_ref,tactile_paving,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,local_ref,covered,note,ref,departures_board,fixme,comment,check_date:tactile_paving,toilets:wheelchair,bicycle_parking,check_date:bench,source,line,surface;;;;;;;;;;;;;;;;;;
"188,,bus_stop,,Volgershall/UNI,HVV,KVG,platform,""Lüneburg, Volgershall/UNI"",no,yes,53.2493490,10.3840653,915967687,no,,yes,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"189,yes,bus_stop,""5920, 5003"",Städtisches Klinikum,HVV,KVG,platform,""Lüneburg, Städtisches Klinikum"",yes,yes,53.2407753,10.3973060,924513262,yes,,no,,,,,,,,,,,,,,,,yes,,,,,";;;;;;;;;;;;;;;;;;
"190,yes,bus_stop,""5007, 5003"",Städtisches Klinikum,HVV,KVG,platform,""Lüneburg, Städtisches Klinikum"",no,yes,53.2408905,10.3972543,924513361,no,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,yes,,,,,";;;;;;;;;;;;;;;;;;
"191,,bus_stop,,Elba,HVV,KVG,platform,""Adendorf, Elba"",no,,53.2967091,10.4269898,965065977,no,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"192,,bus_stop,5012,Behördenzentrum (Ost),HVV,KVG,platform,""Lüneburg, Behördenzentrum (Ost)"",yes,,53.2509696,10.4313902,1039463414,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"193,,bus_stop,,Psychiatrische Klinik,HVV,KVG,platform,""Lüneburg, Psychiatrische Klinik"",yes,limited,53.2543494,10.3880794,1048704480,,5009";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"194,,bus_stop,,Bei der Pferdehütte,HVV,KVG,platform,""Lüneburg, Bei der Pferdehütte"",yes,,53.2741646,10.4047332,1108268733,yes,5005";ASM,no,yes,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"195,,bus_stop,,Alec-Moore-Straße,HVV,KVG,platform,""Lüneburg, Alec-Moore-Straße"",no,,53.2465139,10.3812801,1116593359,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"196,,bus_stop,,Hölderlinstraße,HVV,KVG,platform,""Lüneburg, Hölderlinstraße"",no,,53.2607287,10.4451929,1116593361,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"197,yes,bus_stop,,Am Bargenturm,HVV,KVG,platform,""Lüneburg, Am Bargenturm"",no,limited,53.2452478,10.3985975,1116593365,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"198,,bus_stop,,Heidkoppelweg,HVV,KVG,platform,""Lüneburg, Heidkoppelweg"",,,53.2613986,10.4689526,1116593369,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"199,,bus_stop,,Memeler Straße,HVV,KVG,platform,""Lüneburg, Memeler Straße"",,,53.2602671,10.4680489,1116593371,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"200,,bus_stop,,William-Watt-Straße,HVV,KVG,platform,""Lüneburg, William-Watt-Straße"",yes,,53.2448537,10.3806900,1116593375,yes,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"201,yes,bus_stop,,Allensteiner Straße,HVV,KVG,platform,""Lüneburg, Allensteiner Straße"",,,53.2641335,10.4634160,1116593381,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"202,yes,bus_stop,,Alec-Moore-Straße,HVV,KVG,platform,""Lüneburg, Alec-Moore-Straße"",no,,53.2467615,10.3820658,1116593384,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"203,yes,bus_stop,,Allensteiner Straße,HVV,KVG,platform,""Lüneburg, Allensteiner Straße"",,,53.2639573,10.4633933,1116593386,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"204,yes,bus_stop,,""Erbstorf, Wendeplatz"",HVV,KVG,platform,""Erbstorf, Wendeplatz"",yes,,53.2737862,10.4763614,1116593388,,5007";5918;5920;5925,,,,,,,,,,,,,,,,,,yes,,,,;;;;;;;;;;;;;;;
"205,,bus_stop,,Am Grasweg,HVV,KVG,platform,""Lüneburg, Am Grasweg"",yes,,53.2462357,10.3878744,1116593391,yes,5015";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"206,,bus_stop,,Jüttkenmoor,HVV,KVG,platform,""Lüneburg, Jüttkenmoor"",no,,53.2479273,10.3849708,1116593396,no,5015";ASM,no,,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"207,,bus_stop,,Jüttkenmoor,HVV,KVG,platform,""Lüneburg, Jüttkenmoor"",yes,,53.2478421,10.3852141,1116593402,yes,5015";ASM,no,yes,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"208,yes,bus_stop,,Am Bargenturm,HVV,KVG,platform,""Lüneburg, Am Bargenturm"",no,limited,53.2448883,10.3978454,1116593403,yes,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"209,,bus_stop,,Am Ziegeleiteich,HVV,KVG,platform,""Lüneburg, Am Ziegeleiteich"",yes,,53.2599796,10.4720436,1116593409,,5015";5901;5918,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
210,yes,bus_stop,5002;5005;5009;5010;5013;5014;5015;5200;5202;"5405,Lambertiplatz,HVV,KVG,platform,""Lüneburg, Lambertiplatz"",no,yes,53.2456921,10.4032231,1116773357,no,,no,yes,,,,no,,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,";;;;;;;;;
"211,,bus_stop,,Vor dem Neuen Tore,HVV,KVG,platform,""Lüneburg, Vor dem Neuen Tore"",no,,53.2499815,10.3895808,1137687948,no,,no,,,,,,,,,no,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"212,yes,bus_stop,,Am Graalwall,HVV,KVG,platform,""Lüneburg, Am Graalwall"",no,,53.2509790,10.4026090,1137688164,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"213,,bus_stop,,Am Lerchenberg,HVV,KVG,platform,""Reppenstedt, Am Lerchenberg"",yes,yes,53.2470042,10.3674726,1137688232,,,yes,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"214,,bus_stop,,Steinweg,HVV,KVG,platform,""Adendorf, Steinweg"",,,53.2755805,10.4425957,1156522335,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"215,,bus_stop,,Im Gutspark,HVV,KVG,platform,""Adendorf, Im Gutspark"",no,,53.2861840,10.4468141,1156522398,no,5007";5920,no,no,,,,yes,2021-07-22,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"216,,bus_stop,,Virchowstraße,HVV,KVG,platform,""Adendorf, Virchowstraße"",no,,53.2814563,10.4469601,1156522399,yes,5925,yes,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"217,,bus_stop,,Virchowstraße,HVV,KVG,platform,""Adendorf, Virchowstraße"",no,,53.2812635,10.4469728,1156522406,no,5925,yes,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"218,,bus_stop,,Steinweg,HVV,KVG,platform,""Adendorf, Steinweg"",,,53.2750893,10.4421910,1156522409,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"219,,bus_stop,5007,Teichaue,HVV,KVG,platform,""Adendorf, Teichaue"",yes,,53.2865534,10.4490580,1156522434,yes,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"220,,bus_stop,5007,Moorchaussee,HVV,KVG,platform,""Adendorf, Moorchaussee"",no,,53.2889918,10.4478643,1157694827,no,,no,,,,,,2021-05-05,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"221,,bus_stop,,Kastanienallee,HVV,KVG,platform,""Adendorf, Kastanienallee"",no,,53.2839238,10.4548440,1157694871,no,,no,,,,,,2021-04-26,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"222,,bus_stop,5007,Kastanienallee,HVV,KVG,platform,""Adendorf, Kastanienallee"",no,,53.2839022,10.4547474,1157694917,no,,no,,,,,,2021-04-26,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"223,,bus_stop,,Katzenweg,HVV,KVG,platform,""Adendorf, Katzenweg"",no,,53.2868678,10.4572671,1157694940,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"224,,bus_stop,5007,Katzenweg,HVV,KVG,platform,""Adendorf, Katzenweg"",no,,53.2869674,10.4571839,1157694970,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"225,yes,bus_stop,5012,Friedrich-Ludwig-Jahn-Straße,HVV,KVG,platform,""Lüneburg, Friedrich-Ludwig-Jahn-Straße"",yes,,53.2350350,10.4083952,1181280550,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"226,yes,bus_stop,5012,Rotes Tor,HVV,KVG,platform,""Lüneburg, Rotes Tor"",no,,53.2437968,10.4097351,1181280590,no,,no,yes,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"227,yes,bus_stop,5012,Goethestraße,HVV,KVG,platform,""Lüneburg, Goethestraße"",yes,,53.2351006,10.4104754,1181280625,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"228,,bus_stop,5012,Behördenzentrum (Ost),HVV,KVG,platform,""Lüneburg, Behördenzentrum (Ost)"",yes,,53.2510324,10.4306238,1181280702,yes,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"229,yes,bus_stop,5012,Bunsenstraße,HVV,KVG,platform,""Lüneburg, Bunsenstraße"",no,,53.2494425,10.4411340,1181280826,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"230,yes,bus_stop,5012,Hagen Wendeplatz,HVV,KVG,platform,""Lüneburg, Hagen (Wendeplatz)"",,,53.2428075,10.4519518,1181280845,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"231,yes,bus_stop,5012,Bachstraße,HVV,KVG,platform,""Lüneburg, Bachstraße"",no,,53.2473003,10.4400335,1181280891,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"232,yes,bus_stop,5012,Goethestraße,HVV,KVG,platform,""Lüneburg, Goethestraße"",no,,53.2352269,10.4102835,1181280904,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"233,,bus_stop,5012,Hopfengarten,HVV,KVG,platform,""Lüneburg, Hopfengarten"",no,,53.2510849,10.4278875,1181280913,no,,no,no,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"234,yes,bus_stop,5012,Wielandstraße,HVV,KVG,platform,""Lüneburg, Wielandstraße"",no,,53.2377319,10.4108562,1181280956,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"235,,bus_stop,5012,Hans-Steffens-Weg,HVV,KVG,platform,""Lüneburg, Hans-Steffens-Weg"",no,,53.2509447,10.4349723,1181280963,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"236,yes,bus_stop,5012,Rotes Tor,HVV,KVG,platform,""Lüneburg, Rotes Tor"",no,,53.2439710,10.4098558,1181281013,no,,no,no,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"237,yes,bus_stop,5012,Blücherstraße,HVV,KVG,platform,""Lüneburg, Blücherstraße"",no,,53.2313787,10.3999073,1181281030,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"238,yes,bus_stop,5012,Friedrich-Ludwig-Jahn-Straße,HVV,KVG,platform,""Lüneburg, Friedrich-Ludwig-Jahn-Straße"",yes,,53.2351586,10.4084849,1181281096,yes,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"239,yes,bus_stop,5012,Hagen Wendeplatz,HVV,KVG,platform,""Lüneburg, Hagen (Wendeplatz)"",,,53.2429833,10.4517648,1181281179,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"240,,bus_stop,5012,Hans-Steffens-Weg,HVV,KVG,platform,""Lüneburg, Hans-Steffens-Weg"",,,53.2508568,10.4349653,1181281208,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"241,,bus_stop,5012,Hopfengarten,HVV,KVG,platform,""Lüneburg, Hopfengarten"",yes,,53.2510042,10.4283903,1181281260,yes,,no,,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"242,yes,bus_stop,5012,Wielandstraße,HVV,KVG,platform,""Lüneburg, Wielandstraße"",no,,53.2376071,10.4107257,1181281280,no,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"243,yes,bus_stop,5010,Otto-Brenner-Straße,HVV,KVG,platform,""Lüneburg, Otto-Brenner-Straße"",no,,53.2423045,10.4784370,1195426701,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"244,,bus_stop,5010,Flugplatz,HVV,KVG,platform,""Lüneburg, Flugplatz"",no,,53.2448717,10.4592049,1195426702,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"245,yes,bus_stop,5010,Schützenstraße,HVV,KVG,platform,""Lüneburg, Schützenstraße"",no,,53.2446455,10.4348678,1195426704,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"246,yes,bus_stop,5010,Walter-Bötcher-Straße,HVV,KVG,platform,""Lüneburg, Walter-Bötcher-Straße"",no,limited,53.2455633,10.4459578,1195426707,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"247,yes,bus_stop,5010,Stadtkoppel,HVV,KVG,platform,""Lüneburg, Auf den Blöcken"",no,,53.2461948,10.4492537,1195426708,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"248,,bus_stop,5010,Kurt-Höbold-Straße,HVV,KVG,platform,""Lüneburg, Kurt-Höbold-Straße"",no,,53.2402935,10.4778019,1195426715,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"249,yes,bus_stop,5010,Richard-Brauer-Straße,HVV,KVG,platform,""Lüneburg, Richard-Brauer-Straße"",no,,53.2447657,10.4429666,1195426718,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"250,,bus_stop,5010,Elso-Klöver-Straße,HVV,KVG,platform,""Lüneburg, Elso-Klöver-Straße"",no,,53.2465791,10.4773470,1195426726,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
251,yes,bus_stop,5010;5100;5120;5300;"5304,Gellersstraße,HVV,KVG,platform,""Lüneburg, Gellersstraße"",no,,53.2478555,10.4300483,1195426727,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;
"252,,bus_stop,5010,Wilhelm-Fressel-Straße,HVV,KVG,platform,""Lüneburg, Wilhelm-Fressel-Straße"",no,,53.2390287,10.4760492,1195426730,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"253,yes,bus_stop,5010,Otto-Brenner-Straße,HVV,KVG,platform,""Lüneburg, Otto-Brenner-Straße"",no,,53.2424374,10.4781812,1195426731,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"254,,bus_stop,5010,Flugplatz,HVV,KVG,platform,""Lüneburg, Flugplatz"",no,,53.2449658,10.4591935,1195426732,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"255,yes,bus_stop,5010,Schützenstraße,HVV,KVG,platform,""Lüneburg, Schützenstraße"",yes,,53.2448143,10.4348734,1195426733,yes,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"256,,bus_stop,5010,Kurt-Höbold-Straße,HVV,KVG,platform,""Lüneburg, Kurt-Höbold-Straße"",no,,53.2403815,10.4777480,1195426735,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"257,yes,bus_stop,5010,Richard-Brauer-Straße,HVV,KVG,platform,""Lüneburg, Richard-Brauer-Straße"",no,,53.2447832,10.4428513,1195426736,no,,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"258,yes,bus_stop,5010,Walter-Bötcher-Straße,HVV,KVG,platform,""Lüneburg, Walter-Bötcher-Straße"",no,,53.2461867,10.4472107,1195426737,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"259,yes,bus_stop,5010,Stadtkoppel,HVV,KVG,platform,""Lüneburg, Auf den Blöcken"",no,,53.2464486,10.4489784,1195426739,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"260,yes,bus_stop,5010,Ostlandring,HVV,KVG,platform,""Lüneburg, Ostlandring"",no,,53.2420938,10.4395711,1195426740,no,,no,yes,20141026,no,""Lüneburg, Ostlandring"",,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
261,yes,bus_stop,5010;5100;5120;5300;"5304,Gellersstraße,HVV,KVG,platform,""Lüneburg, Gellersstraße"",no,,53.2481414,10.4290289,1195426743,no,,no,yes,20141123,no,""Lüneburg, Gellersstraße"",,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;
"262,,bus_stop,5010,Elso-Klöver-Straße,HVV,KVG,platform,""Lüneburg, Elso-Klöver-Straße"",no,,53.2464799,10.4775424,1195426745,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"263,yes,bus_stop,5003,Schildsteinweg,HVV,KVG,platform,""Lüneburg, Schildsteinweg"",no,,53.2407532,10.3914278,1321746678,no,,no,yes,,,,,,Kein Kasseler Bord,,,Richtung SZ Oedeme / Teufelsküche,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"264,yes,bus_stop,,Finanzamt,HVV,KVG,platform,""Lüneburg, Finanzamt"",no,,53.2554488,10.4121817,1348734466,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"265,yes,bus_stop,,Auf dem Schmaarkamp,HVV,KVG,platform,""Lüneburg, Auf dem Schmaarkamp"",no,,53.2603115,10.4105509,1348734468,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"266,yes,bus_stop,,Auf der Hude,HVV,KVG,platform,""Lüneburg, Auf der Hude"",no,,53.2583328,10.4136152,1348734473,no,5002";ASM,no,yes,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"267,yes,bus_stop,,Auf der Hude,HVV,KVG,platform,""Lüneburg, Auf der Hude"",no,,53.2583539,10.4134962,1348734475,yes,5002";5405;ASM,yes,yes,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"268,,bus_stop,,Sternkamp,HVV,KVG,platform,""Lüneburg, Sternkamp"",yes,,53.2675389,10.4053237,1348734476,,5002";5402;5405;ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
269,,bus_stop,5404;" ASM,Lüneburger Straße,HVV,KVG,platform,""Vögelsen, Lüneburger Straße"",no,limited,53.2744912,10.3540850,1349023101,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"270,yes,bus_stop,,Tennispark,HVV,KVG,platform,""Lüneburg, Tennispark"",yes,limited,53.2598361,10.3849925,1349023125,yes,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"271,,bus_stop,,Kiefernweg,HVV,KVG,platform,""Vögelsen, Kiefernweg"",no,limited,53.2753237,10.3526052,1349023126,no,5009";5404;ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"272,yes,bus_stop,,Tennispark,HVV,KVG,platform,""Lüneburg, Tennispark"",no,limited,53.2598965,10.3851752,1349023146,no,,no,no,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"273,yes,bus_stop,,Brockwinkler Weg,HVV,KVG,platform,""Lüneburg, Brockwinkler Weg"",no,limited,53.2564930,10.3866216,1349023151,no,5009";ASM,no,,,,,,,,,,,,,Stimmt die Lage?,,,,,,,,;;;;;;;;;;;;;;;;;
"274,yes,bus_stop,,Am Wildgehege,HVV,KVG,platform,""Lüneburg, Am Wildgehege"",,,53.2666787,10.3897554,1349023179,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"275,yes,bus_stop,,Am Wildgehege,HVV,KVG,platform,""Lüneburg, Am Wildgehege"",,,53.2657738,10.3898274,1349023189,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"276,,bus_stop,5006,Robert-Schumann-Straße,HVV,KVG,platform,""Adendorf, Robert-Schumann-Straße"",no,yes,53.2900786,10.4339130,1602846163,no,,no,yes,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"277,yes,bus_stop,,Schwarzer Weg,HVV,KVG,platform,""Lüneburg, Schwarzer Weg"",yes,,53.2715346,10.4280345,1603471272,yes,,yes,yes,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"278,,bus_stop,5006,Königsberger Weg,HVV,KVG,platform,""Adendorf, Königsberger Weg"",yes,,53.2834046,10.4398725,1603544600,,,no,,,,,,2020-11-25,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"279,,bus_stop,5006,Königsberger Weg,HVV,KVG,platform,""Adendorf, Königsberger Weg"",yes,,53.2834064,10.4398485,1603544609,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"280,,bus_stop,,Kornblumenweg,HVV,KVG,platform,""Adendorf, Kornblumenweg"",no,,53.2876679,10.4327786,1647151461,no,,no,yes,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"281,,bus_stop,,Kornblumenweg,HVV,KVG,platform,""Adendorf, Kornblumenweg"",no,,53.2876507,10.4328522,1647151469,no,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"282,,bus_stop,,Röthenweg,HVV,KVG,platform,""Adendorf, Röthenweg"",no,,53.2859085,10.4327278,1647151473,no,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"283,,bus_stop,,Röthenweg,HVV,KVG,platform,""Adendorf, Röthenweg"",no,,53.2859189,10.4327655,1647151482,no,,no,no,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"284,yes,bus_stop,,Zeltberg,HVV,KVG,platform,""Lüneburg, Zeltberg"",no,,53.2650556,10.4069669,1757030062,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"285,yes,bus_stop,,Zeltberg,HVV,KVG,platform,""Lüneburg, Zeltberg"",no,,53.2651379,10.4069351,1757030071,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"286,,bus_stop,,Am Stadtberg,HVV,KVG,platform,""Vögelsen, Am Stadtberg"",yes,limited,53.2733993,10.3588328,1781853978,yes,5009";5404;ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
