name,x,y,"osmid,N,18,0"
Abzweigung Bennerstedt,10.4869702,53.3146462,1830066645
Lüneburger Straße,10.5227006,53.2288511,8523611360
"Karze, An den Hauskoppeln",10.6739869,53.314295,4363687998
Universitätsallee,10.4052614,53.230091,175237700
"Artlenburg, Grünstraße",10.4921805,53.3719336,957142825
Bei Mönchsgarten,10.3904939,53.2529278,293938369
Hermann-Löns-Straße,10.4357546,53.2611082,298511484
Wilhelm-Leuschner-Straße,10.4442936,53.236347,114241120
Graf-von-Moltke-Straße,10.4385436,53.2372693,1459109815
St.-Stephanus-Platz,10.4347836,53.2385554,414692562
Konrad-Adenauer-Straße,10.4319275,53.2377656,7960254627
Waldfriedhof,10.429653,53.2361294,275404815
Schäferfeld,10.4287246,53.2378491,1872332223
Kurt-Schumacher-Straße,10.4269383,53.2401354,279632687
Blümchensaal,10.4230445,53.2433336,307769211
Theodor-Heuss-Straße,10.4329576,53.2462219,1053737986
Venusberg (Johanneum),10.4303141,53.2465477,301861007
Ziegelkamp,10.4276158,53.2474105,301860995
Am Schützenplatz,10.4236403,53.2487451,201192065
"Deutsch Evern, Triftstraße",10.4383763,53.2028361,309164430
Becklingen,10.638701,53.1685565,272771855
"Radbruch, Schäfer-Ast-Straße",10.2858188,53.3115371,311743901
"Thomasburg, Radenbecker Weg",10.6537654,53.2297167,4133634392
Abzweig Dumstorf,10.6967738,53.1893837,313574492
"Köstorf, Abzw. Barskamp",10.7566624,53.2330487,3790432850
Abzweig Radenbeck,10.6206885,53.2012926,1713950571
Mitte / B216,10.6378781,53.1973134,369792808
Breetzer Straße,10.7248594,53.2821702,319989751
Wichernstraße,10.397792,53.2268409,276915521
Anna-Vogeley-Heim,10.3984829,53.2251001,1690093376
Am Elsenbruch,10.4012942,53.2245326,1690093389
Röntgenstraße / Kirche,10.4024801,53.2227054,322053789
Röntgenstraße,10.4028648,53.2207693,322051827
Planckstraße,10.404717,53.2192047,322053484
Neetzebrücke,10.6150702,53.2650616,323130818
Reichenbachplatz,10.4106941,53.2531248,333248611
Bürgeramt,10.4092892,53.2522431,332606128
"Radenbeck, Siedlung",10.6264241,53.2178751,336363945
Markt,10.7418278,53.1870816,314666239
Meisterweg,10.4317204,53.2599086,317179812
Hansestraße,10.4261391,53.2555935,705465966
Henningstraße,10.4233245,53.2525633,296886493
Pulverweg (Nord),10.422458,53.2511748,201192013
Theodor-Haubach-Straße,10.4422643,53.2341433,274309813
Bülows Kamp,10.4459154,53.2314995,114240790
Klosterkamp,10.4460096,53.2292609,414685401
Hermann-Wagner-Straße,10.4441928,53.2288883,1249144962
Hinrich-Wilhelm-Kopf-Straße,10.4337268,53.2393598,282853219
"Handorf, Grundschule",10.3467072,53.3419322,452997887
Im Kirchfelde,10.3196032,53.2800856,2301671297
"Barum, Am Sportplatz",10.4088761,53.3509372,292157701
Am Sande,10.4107075,53.2477583,4013236506
Oedeme Dorf,10.3769693,53.228942,7173992955
Im Kamp,10.3850765,53.2222253,374359791
Scharnhorststraße/DJH,10.3971229,53.2300297,276915516
Blücherstraße,10.4000814,53.2311691,1658400344
Imkerstieg,10.388762,53.2746341,249238920
Neue Straße,10.431328,53.274525,387439255
Danziger Weg,10.4383568,53.2816633,546443116
MTV-Platz,10.4049563,53.2353498,268638584
Kurpark,10.4043801,53.2384105,111246549
Uelzener Straße (Kurzentrum),10.4044333,53.2404345,114242620
Munstermannskamp,10.4052689,53.232103,305382797
Osterwiese,10.3746107,53.2148267,402986884
Klosterweg,10.371994,53.2117385,403012178
Ginsterweg,10.3959836,53.2326736,3348587797
Am Schwalbenberg,10.4223308,53.2459133,1057013365
Wallstraße (Theater),10.4072015,53.245682,262253660
Postamt,10.4038332,53.2429593,539018433
Hasenburg,10.3940989,53.2255233,297426712
Eintracht Sportplatz,10.3854737,53.2211913,389948830
Am Bahnhof Rettmer,10.3816755,53.21947,402916911
Wiesengrund,10.3746747,53.2134269,403012164
Pilgerpfad,10.3783934,53.2099019,2618162533
Am Wischfeld,10.3882696,53.2112187,7799257024
Hessenweg (Mitte),10.3879839,53.2138366,3267192184
Am Bäckfeld,10.3886319,53.2166547,393498311
Häcklinger Weg,10.387037,53.2197354,402916874
B 4 Parkplatz,10.345182,53.3345096,353270704
Stadttheater,10.4076949,53.2439859,268415869
Sültenweg,10.3929476,53.244192,2907063685
Am Grasweg,10.3881566,53.2461189,318640483
Jägerstraße,10.3847644,53.2489566,382390327
Johanna-Stegen-Straße,10.3874009,53.2494991,268233024
Vor dem Neuen Tore,10.3924213,53.2500778,178848802
Dörnbergstraße,10.3938125,53.2511306,828077495
Witzendorffstraße,10.3923654,53.2565779,308648777
Ebelingweg,10.3911893,53.2614652,4827722223
Naruto-Straße,10.3852786,53.2693964,414191921
Krähornsberg,10.3867792,53.2706226,381911675
Teilfeld,10.3895463,53.2794573,414237511
Wilhelm-Hänel-Weg,10.4044742,53.2699592,2371152648
Am Wildgehege,10.3891011,53.2686373,317133890
Laffertstraße,10.3930618,53.255513,1037002221
Schomakerstraße,10.3996894,53.2540821,293976961
Am Springintgut,10.4002528,53.2521255,178844318
Am Graalwall,10.4027651,53.2509053,121149168
Neue Sülze,10.4040892,53.2478008,2990731692
Lambertiplatz,10.4031072,53.2456516,262253493
Rathaus,10.4068106,53.2506572,262229788
Kefersteinstraße (UNI),10.4102138,53.2406193,181308509
Gut Willerding,10.4566119,53.225116,109895066
Bahnhof,10.4336107,53.2000625,385545644
Von-Kleist-Weg,10.4311623,53.1971633,385545626
"Deutsch Evern, Fritz-Reuter-Straße",10.4284361,53.1939183,1834313719
"Deutsch Evern, Friedhof",10.4232358,53.1924397,1834313713
Deutsch Everner Weg,10.4159088,53.1860963,420381006
"Deutsch Evern, An der Ilmenau",10.4196648,53.1957057,385545545
"Deutsch Evern, Wandelfeld",10.4201711,53.1978557,393415825
"Deutsch Evern, Finkenstieg",10.4204929,53.2018114,385545543
"Deutsch Evern, Petersberg",10.4170104,53.2056615,385545536
"Deutsch Evern, Am Tiergarten",10.4186211,53.2073704,272618493
"Deutsch Evern, Tiergartenstraße",10.4293826,53.2061751,7462422450
"Deutsch Evern, Birkenweg",10.4432816,53.2042662,309179087
Schützenstraße,10.4452134,53.2035664,5254285882
Im Alten Dorfe,10.2968669,53.2083215,2316338604
Am Kreideberg,10.4042363,53.255164,181396837
Stöteroggestraße (Süd),10.4020549,53.2556211,181396824
Boizenburger Straße,10.3989629,53.2574691,500905961
Thorner Straße (West),10.3943921,53.2585943,1029618352
Thorner Platz,10.3997927,53.2595982,312506373
Salzwedeler Straße,10.4032549,53.2606612,253248083
Elbinger Straße,10.4028514,53.2627146,312510075
Dessauer Straße,10.401462,53.2641491,312510076
Magdeburger Straße,10.3993732,53.266558,534870775
Stöteroggestraße (Nord),10.3993537,53.2644566,534870781
Brücke,10.3810417,53.331609,2537095304
Hasenburger Weg,10.3832526,53.2287752,408449519
Wallstraße,10.3864893,53.3009499,1678365436
Elba,10.4271323,53.2961666,312185027
Landwehrplatz,10.3574147,53.2479717,9028646324
Bardowicker Straße,10.5031696,53.2949054,443886412
Lübbelau,10.4989646,53.2938205,344892589
Finkenweg,10.3619305,53.2704586,286511203
"Lemgrabe, Am Hasenberg",10.7044397,53.1711381,314645636
Lilienthalstraße,10.4599879,53.2437212,1599089598
Von-Stern-Straße,10.4625961,53.245733,1599748806
Eisenwerk,10.4692372,53.249358,119994771
Gebrüder-Heyn-Straße,10.4656699,53.248161,7819577982
Hagen-Schule,10.4473637,53.2440639,373161834
Wacholderweg,10.4425033,53.2452459,119100610
Ahornweg,10.4381585,53.2465445,301874635
Adendorfer Straße,10.5003095,53.2907226,672754332
Boltersener Straße,10.5367548,53.2835213,494088099
"Boltersen, Rullstorfer Straße",10.5655161,53.2754359,4346393490
Nutzfelder Weg,10.5301085,53.2861568,324239002
Hauptstraße,10.5054053,53.2911209,1050068557
Sportzentrum,10.4553245,53.2890979,2869209506
Grundschule,10.5095283,53.2926817,476600749
Weinbergsweg Schule,10.4327074,53.2822368,304638989
Meisterstraße,10.5102281,53.2939604,339024845
Jürgenstorfer Straße,10.5973461,53.3233128,489755319
K 2 / Zum Bahnhof,10.528343,53.2892813,30093348
Alte Dorfstraße,10.5397765,53.2891528,1204223255
"Scharnebeck, Echemer Straße",10.5057743,53.297607,567004808
"Lentenau, K28",10.5054742,53.2755473,1086281126
"Reinstorf, Reinstorfer Kreuz",10.5684264,53.220633,5113420637
Im Sande,10.2803467,53.2301573,416969347
Kirche,10.2939288,53.2303584,266917632
Im Wiesengrund,10.3009457,53.2311062,8708546811
Landwehr,10.3957654,53.2839468,3060045192
Hagemannsweg,10.3983505,53.2810195,454631858
Schulzentrum,10.4967743,53.2896025,417443430
Floetstraße,10.4091665,53.1800477,1705557196
Rote Schleuse,10.410347,53.2094935,277399793
"Melbeck, Uelzener Straße",10.4178352,53.1752435,8524206695
Bernhard-Riemann-Straße,10.4054578,53.22347,3037235993
Von-Stauffenberg-Straße,10.4401651,53.282214,244401296
Rauher Weg,10.434875,53.276487,301562193
"Heiligenthal, Ort",10.3359066,53.2202422,558971480
In de Tüünen,10.336901,53.2195772,470937620
Heiligenthaler Straße,10.3021503,53.2287282,503301564
"Melbeck, Danziger Straße",10.3722583,53.1809678,564137024
"Embsen, Siedlung",10.3612379,53.1806562,577366509
Kulturforum Wienebüttel,10.3744107,53.2644052,287098768
"Brietlingen, Schierenweg",10.4343011,53.3141351,577733836
"Brietlingen, Moorweg",10.4397463,53.3174256,382009302
Ritzkamper Weg,10.4574358,53.327569,309229350
Schwarzer Weg,10.428384,53.2715467,346183779
Gut Olm,10.4541438,53.2614926,302310334
Abzweigung Ebensberg,10.4600774,53.2637503,7051227607
Erbstorfer Landstraße,10.4778683,53.2739834,4338084488
Hölderlinstraße,10.4436723,53.2608865,988590957
"Wendewisch, Campingplatz",10.6501668,53.3587971,290823819
"Riecklingen, Abzweigung",10.7099559,53.205882,1049251506
Leestahl 2,10.6997246,53.2079337,317985520
Am Kirchkamp,10.6965007,53.1789467,1854036439
Schule A,10.5369096,53.2254603,121136981
"Embsen, Bahnhofstraße",10.3454169,53.177286,277260345
"Embsen, Querlberg",10.3510466,53.1737042,663386180
"Horndorf, Zur Doven Elbe",10.5885781,53.2144044,413541248
"Reinstorf, Hauptstraße",10.5723353,53.2342885,8716573169
Forsthaus,10.3455259,53.1658521,1509822736
"Barum, Abzweig Horburg",10.404422,53.353689,8717776249
"Barum, Am See",10.411604,53.3506593,9028751775
"Oerzen, Fliederstraße",10.327642,53.1921149,5239244504
Hohe Luft,10.4174102,53.1751221,2075922410
"Bavendorf, Im Dorfe",10.6393535,53.1958992,277404766
"Reinstorf, Am Vitusbach",10.5723556,53.2346506,109400356
Neumühlener Weg,10.5683419,53.289706,317549254
Möhlenkamp,10.5603385,53.2898973,728601562
Auf der Hausstelle,10.4764512,53.217232,2117470702
Feuerwehr,10.4695606,53.2158292,114244030
Ostlandring,10.4399979,53.242081,1736935361
Freibad,10.4423226,53.2409945,285670612
Kreuzkamp,10.4364118,53.286404,7087531166
Robert-Koch-Straße,10.4528497,53.2840109,395382564
Friedhof,10.4481389,53.2855037,178823219
Heinrich Heine Siedlung,10.464871,53.2786754,392592179
An der Bünte,10.4601337,53.2803412,395382514
Heinrich-Hille-Straße,10.4428154,53.2861609,3082975140
Weinbergsweg,10.4327,53.2853082,1119349016
"Radenbeck, Linnenkamp",10.6277678,53.2215393,339316060
"Radenbeck, Dorfstraße",10.6301273,53.224299,9029022165
Siedlung,10.5916573,53.2412736,8192691432
"Brietlingen, Am Sportplatz",10.436449,53.3191189,376360688
Goebelstraße,10.4167169,53.26866,3206896896
"Echem, Schulstraße",10.5430609,53.3376807,2681822369
Grüner Weg,10.432352,53.272947,301562204
Lindenweg,10.4380841,53.2730333,301562172
Otto-Brenner-Straße (Kehre),10.4837546,53.2364276,2362894581
"Brietlingen, Stettiner Ring",10.4441547,53.3134023,382011053
Sternkamp,10.4057395,53.2669292,7207493398
Kirchweg,10.436374,53.278698,288004885
Bunsenstraße,10.4412818,53.2495011,301881047
Bachstraße,10.4400425,53.2473918,275637762
Rosenkamp,10.3790788,53.2244958,369971304
Schmiedestraße,10.3767866,53.2247574,1602198371
Rehrweg,10.3725779,53.2263697,369971275
"Wittorf, Wiesenstraße",10.3800426,53.3322006,452899291
Volgershall/UNI,10.3840653,53.249349,382390323
Städtisches Klinikum,10.397306,53.2407753,113588289
"Lüdersburg, Kirchtwiete",10.5738389,53.3204039,489755257
Abzweigung Jürgenstorf,10.5951755,53.3304483,260371872
Melbeck Grundschule,10.404557,53.1787734,1524824915
Gifkendorf,10.5503194,53.1892645,294218205
B 209,10.4945384,53.3681692,297767103
Gerhart-Hauptmann-Straße,10.3395324,53.2463836,319171756
Händelstraße,10.3420038,53.2517922,355263024
Alter Postweg,10.3435316,53.2525452,355265900
Lessingstraße,10.3398479,53.2496234,357421278
Am Fuchsberg,10.3473817,53.2531473,359603064
Im Westerfelde,10.349476,53.2522281,336245617
Behördenzentrum (Ost),10.4313902,53.2509696,301866124
Psychiatrische Klinik,10.3880794,53.2543494,484379283
Am Bruch,10.3319859,53.3020685,386775036
Bei der Pferdehütte,10.4047332,53.2741646,1603400020
Alec-Moore-Straße,10.3812801,53.2465139,318656446
Am Bargenturm,10.3985975,53.2452478,89367284
Heidkoppelweg,10.4689526,53.2613986,318404239
Memeler Straße,10.4680489,53.2602671,318404242
William-Watt-Straße,10.38069,53.2448537,318656460
Allensteiner Straße,10.463416,53.2641335,281778288
"Erbstorf, Wendeplatz",10.4763614,53.2737862,275642168
Jüttkenmoor,10.3849708,53.2479273,178849093
Am Ziegeleiteich,10.4720436,53.2599796,419272371
Ostlandstraße (Schule),10.3500738,53.2485861,357349548
Schnellenberger Weg,10.3639159,53.2477958,262620087
Ostlandstraße Spielplatz,10.3433004,53.2483843,357417529
Am Lerchenberg,10.3674726,53.2470042,336407095
Am Schwarzen Berg,10.3434432,53.2453669,5363848753
Steinweg,10.4425957,53.2755805,430344880
Im Gutspark,10.4468141,53.286184,3082975156
Virchowstraße,10.4469601,53.2814563,430344915
Teichaue,10.449058,53.2865534,409100826
Moorchaussee,10.4478643,53.2889918,312184964
Kastanienallee,10.454844,53.2839238,3119436266
Katzenweg,10.4572671,53.2868678,3119436360
Friedrich-Ludwig-Jahn-Straße,10.4083952,53.235035,7607589705
Rotes Tor,10.4097351,53.2437968,111246659
Goethestraße,10.4104754,53.2351006,195848633
Hagen Wendeplatz,10.4519518,53.2428075,208986248
Hopfengarten,10.4278875,53.2510849,317279940
Wielandstraße,10.4108562,53.2377319,268638460
